country,year,fdi_inward,fdi_outward,fdi_net,gdp_current_usd,fdi_inward_pct_gdp,fdi_outward_pct_gdp,fdi_net_pct_gdp
Philippines,2013,3737,3647,90,283902828588.718,1.3162954446690935,1.2845944572406165,0.03170098742847696
Philippines,2014,5740,6754,-1014,297483555338.044,1.9295184211031022,2.2703775986289814,-0.340859177525879
Philippines,2015,4447,4347,100,306445871242.322,1.4511535045233277,1.4185213141809994,0.03263219034232803
Philippines,2016,6915,1032,5883,318627003016.731,2.1702492050358004,0.3238896861311563,1.8463595189046438
Philippines,2017,8704,1752,6952,328480736802.76,2.649774864949361,0.5333646097646232,2.116410255184738
Philippines,2018,6602,770,5832,346841896587.313,1.9034609327648027,0.22200316846847898,1.6814577642963235
Philippines,2019,6020,700,5320,376823402239.136,1.5975653221716963,0.1857634095548484,1.411801912616848
Philippines,2020,3254,-6,3260,361751145451.597,0.8995133922624694,-0.0016585987564765876,0.901171991018946
Philippines,2021,10225,493,9732,394087359848.11,2.59460237545831,0.1250991658778432,2.4695032095804668
Philippines,2022,5939,308,5631,404353369604.631,1.4687648098016448,0.07617099872350676,1.3925938110781382
Philippines,2023,6452,1052,5400,437055627244.424,1.4762422899526493,0.24070162570213688,1.2355406642505125
Thailand,1990,2575,154,2421,85343190719.0107,3.0172295859878178,0.18044790533674715,2.8367816806510704
Thailand,1991,2049,183,1866,98234714971.0612,2.0858206801980455,0.18628852341446672,1.8995321567835788
Thailand,1992,2151,146,2005,111452746517.655,1.9299658978428713,0.13099722040216608,1.7989686774407054
Thailand,1993,1807,234,1573,128889262951.157,1.4019786897879682,0.1815511972387297,1.2204274925492384
Thailand,1994,1369,494,875,146683778959.101,0.9333001983687034,0.33677888823531005,0.5965213101333933
Thailand,1995,2070,887,1183,169278916592.843,1.2228339132030566,0.5239872855126141,0.6988466276904425
Thailand,1996,2338,932,1406,183035237429.281,1.2773496692970547,0.5091915704811185,0.7681580988159363
Thailand,1997,3882,584,3298,150180456565.728,2.584890263867991,0.3888655111022429,2.1960247527657484
Thailand,1998,7492,132,7360,113675596787.738,6.590684554741786,0.11611990940014895,6.474564645341638
Thailand,1999,6106,342,5764,126669211778.94,4.820429458940694,0.26999457500126395,4.55043488393943
Thailand,2000,3410,-20,3430,126392224253.794,2.697950779909342,-0.01582375823993749,2.7137745381492797
Thailand,2001,5073,427,4646,120296476180.402,4.2170811324450614,0.3549563657705581,3.862124766674503
Thailand,2002,3355,171,3184,134300904400.022,2.4981216731102296,0.12732602268311455,2.3707956504271155
Thailand,2003,5222,615,4607,152280615245.887,3.4291954964642444,0.4038596764315416,3.0253358200327027
Thailand,2004,5859,72,5787,172895685154.658,3.3887485362974963,0.04164360720488475,3.347104929092611
Thailand,2005,8216,551,7665,189318408468.595,4.339778718012468,0.2910440693311672,4.0487346486813
Thailand,2006,8917,1041,7876,221758296021.621,4.02104460575879,0.4694300139727375,3.5516145917860524
Thailand,2007,9195,2108,7087,262942621455.053,3.4969606483412115,0.8016958180210195,2.6952648303201925
Thailand,2008,8054,1832,6222,291382982430.951,2.7640598406973047,0.6287258043403852,2.1353340363569195
Thailand,2009,5362,4947,415,281710630187.319,1.903371554149243,1.756057269372679,0.14731428477656397
Thailand,2010,14555,7940,6615,341104766329.17,4.267017478716277,2.3277305929925967,1.939286885723681
Thailand,2011,1370,6072,-4702,370818739623.622,0.3694527416253393,1.6374576986489493,-1.2680049570236098
Thailand,2012,9135,10497,-1362,397558325278.579,2.297776054267982,2.640367295199891,-0.3425912409319093
Thailand,2013,15493,11679,3814,420333654592.547,3.6858814017683725,2.7785069961436015,0.9073744056247708
Thailand,2014,4809,5575,-766,407339040197.651,1.1805890242355739,1.3686387627601007,-0.18804973852452686
Thailand,2015,5624,1687,3937,401296238228.084,1.401458439987543,0.42038769350266453,0.9810707464848785
Thailand,2016,2491,12398,-9907,413366349747.508,0.6026131545350873,2.9992765515560067,-2.3966633970209195
Thailand,2017,7875,13772,-5897,456356813536.764,1.7256234083520685,3.0178140418824997,-1.2921906335304314
Thailand,2018,11705,15085,-3380,506754208404.485,2.3097982820612737,2.9767883028529956,-0.6669900207917219
Thailand,2019,3781,8410,-4629,543976691793.886,0.6950665455042382,1.5460221231659994,-0.8509555776617611
Thailand,2020,-5630,17270,-22900,500461898480.246,-1.1249607646649298,3.4508121502243942,-4.575772914889324
Thailand,2021,14648,18668,-4020,506194668789.937,2.8937483745168984,3.687909247370389,-0.7941608728534907
Thailand,2022,11705,7656,4049,495644697587.661,2.361570709213493,1.5446548782348146,0.8169158309786787
Thailand,2023,8053,15213,-7160,515906283940.933,1.560942413510513,2.9487913742376053,-1.387848960727092
Vietnam,1990,180,0,180,6471740805.56984,2.781322760100107,0,2.781322760100107
Vietnam,1991,375,0,375,9613369520.41885,3.900817493840197,0,3.900817493840197
Vietnam,1992,474,0,474,9866990236.43587,4.803896513950714,0,4.803896513950714
Vietnam,1993,926,0,926,13180953598.1716,7.025288368577903,0,7.025288368577903
Vietnam,1994,1945,0,1945,16286433533.3228,11.942455025653341,0,11.942455025653341
Vietnam,1995,1780,0,1780,20736164458.9505,8.58403685755726,0,8.58403685755726
Vietnam,1996,2395,0,2395,24657470574.7501,9.713080637121568,0,9.713080637121568
Vietnam,1997,2220,0,2220,26843700441.5482,8.270096758209698,0,8.270096758209698
Vietnam,1998,1671,0,1671,27209602050.0452,6.141214402645864,0,6.141214402645864
Vietnam,1999,1412,0,1412,28683659006.7752,4.9226634568012395,0,4.9226634568012395
Vietnam,2000,1289,0,1289,31172518403.3162,4.13505249502996,0,4.13505249502996
Vietnam,2001,1300,0,1300,32685198808.5549,3.977335452705715,0,3.977335452705715
Vietnam,2002,1400,0,1400,35064105500.8344,3.9926870513399666,0,3.9926870513399666
Vietnam,2003,1450,0,1450,39552513231.9169,3.666012299895832,0,3.666012299895832
Vietnam,2004,1610,0,1610,45427854693.2554,3.5440810728819954,0,3.5440810728819954
Vietnam,2005,1954,65,1889,57633255738.1992,3.390403639308707,0.11278210673237765,3.2776215325763296
Vietnam,2006,2400,85,2315,66371664817.0436,3.6160009043252193,0.12806669869485152,3.487934205630368
Vietnam,2007,6981,184,6797,77414425532.2452,9.017699158785627,0.2376817999164239,8.780017358869202
Vietnam,2008,9579,300,9279,99130304099.1274,9.663039054557203,0.30263197790658325,9.360407076650619
Vietnam,2009,7600,700,6900,106014659565.214,7.168819888842755,0.6602860423934116,6.508533846449343
Vietnam,2010,8000,900,7100,147201173196.979,5.43473929334429,0.6114081705012325,4.823331122843057
Vietnam,2011,7519,950,6569,172595049183.925,4.3564401386666765,0.5504213501440807,3.8060187885225956
Vietnam,2012,8368,1200,7168,195590661129.249,4.278322876811746,0.6135262251642084,3.664796651647538
Vietnam,2013,8900,1956,6944,213708811665.34,4.164545172773253,0.9152640851623015,3.2492810876109517
Vietnam,2014,9200,1150,8050,233451469642.519,3.9408618905196153,0.4926077363149519,3.4482541542046636
Vietnam,2015,11800,1100,10700,239258328381.741,4.931907733290223,0.4597541107304445,4.472153622559778
Vietnam,2016,12600,1000,11600,257096001177.982,4.900893029167456,0.38895976421963935,4.5119332649478165
Vietnam,2017,14100,480,13620,281353605986.903,5.011487217496816,0.17060382017010436,4.840883397326711
Vietnam,2018,15500,598,14902,310106478394.659,4.998283196223275,0.19283699040913022,4.805446205814144
Vietnam,2019,16120,465,15655,334365270496.667,4.821074861051003,0.13906946714570204,4.6820053939053015
Vietnam,2020,15800,380,15420,346615738537.796,4.55836196782424,0.10963149036539312,4.448730477458847
Vietnam,2021,15660,358,15302,366474752771.009,4.273145661901878,0.09768749342023447,4.175458168481643
Vietnam,2022,17900,2674,15226,413445230668.578,4.329473089108827,0.6467603933115644,3.6827126957972625
Vietnam,2023,18500,-950,19450,433857681378.291,4.2640710984368635,-0.21896581316297406,4.483036911599838
